Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,7521,0,910.0,948.9012715312482,404.42908299155533,2092.7947079762816,10441.274298630502,25.07483216498496,0.0,910,1000,1000,1100,1100,1200,1300,1600,2000,2100,2100
GET,/cart,7476,0,600.0,609.7800930273814,222.39766689017415,1522.2442920785397,17266.00936329588,24.924803252948752,0.0,600,670,700,700,780,810,900,990,1300,1500,1500
POST,/cart,5995,0,700.0,710.549756599003,223.18487497977912,1617.1326250769198,17123.564470391993,19.987185059045984,0.0,700,780,800,810,900,990,1100,1200,1500,1600,1600
POST,/cart/checkout,1497,0,480.0,486.29841704090154,112.3950001783669,1601.6928749158978,6763.722778891116,4.990961807071199,0.0,480,500,580,590,690,790,970,1100,1600,1600,1600
POST,/cart/empty,1460,0,1000.0,1060.849250694386,678.4149168524891,2207.256000023335,10426.08493150685,4.867604701619205,0.0,1000,1100,1100,1200,1200,1300,1500,2000,2200,2200,2200
GET,/product/2ZYFJ3GM2N,1516,0,420.0,456.62035636289295,206.19670790620148,1206.617291085422,8022.910290237467,5.0543073477087095,0.0,420,500,500,510,600,610,700,810,1200,1200,1200
GET,/product/66VCHSJNUP,1491,0,480.0,461.64123834195743,203.14316707663238,1286.92129207775,7899.458081824279,4.970957952133038,0.0,480,500,500,510,590,610,700,800,1200,1300,1300
GET,/product/6E92ZMYYFZ,1498,0,420.0,453.90118763611736,168.09087479487062,1296.7757501173764,7978.647530040053,4.994295782894226,0.0,420,500,500,510,600,610,700,810,1300,1300,1300
GET,/product/L9ECAV7KIM,1500,0,480.0,471.7745308273782,117.39691696129739,1305.6129580363631,7996.566666666667,5.00096373454028,0.0,480,500,510,580,600,680,770,930,1200,1300,1300
GET,/product/LS4PSXUNUM,1482,0,480.0,468.5051805156254,181.44079204648733,1300.894791027531,7996.596491228071,4.940952169725796,0.0,480,490,500,510,590,610,700,1000,1300,1300,1300
GET,/product/OLJCESPC7Z,3041,0,470.0,459.0406621529469,175.092332996428,1341.092332964763,7984.103584347255,10.138620477824661,0.0,470,490,500,510,590,610,700,810,1300,1300,1300
POST,/setCurrency,3081,0,980.0,985.5812862071099,501.54108298011124,2192.0710830017924,10420.280103862382,10.271979510745734,0.0,980,1000,1100,1100,1200,1300,1400,1700,2000,2200,2200
,Aggregated,37558,0,670.0,695.6432574062395,112.3950001783669,2207.256000023335,12027.686298524948,125.21746396124254,0.0,670,800,890,910,1000,1100,1200,1300,2000,2200,2200
