Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,7221,0,900.0,930.0338356046509,128.63000016659498,2120.9209579974413,10425.156903475972,24.068518196767435,0.0,900,990,1000,1100,1200,1300,1600,1700,2000,2100,2100
GET,/cart,7162,0,620.0,664.8260314734752,288.3572077844292,1793.28175005503,17257.052080424462,23.871863637342248,0.0,620,700,710,780,820,960,1200,1300,1600,1800,1800
POST,/cart,5737,0,730.0,777.3606285659984,232.25954198278487,1942.147457972169,17114.291964441345,19.122156058005093,0.0,730,810,880,900,1000,1200,1400,1500,1800,1900,1900
POST,/cart/checkout,1431,0,490.0,538.6767893060547,182.63137503527105,1860.5405839625746,6756.946890286513,4.769706348092258,0.0,490,570,590,610,800,1100,1300,1400,1700,1900,1900
POST,/cart/empty,1394,0,1000.0,1027.656555615554,468.05933420546353,2317.459041951224,10409.641319942612,4.646380607435785,0.0,1000,1100,1100,1200,1300,1400,1700,1900,2200,2300,2300
GET,/product/2ZYFJ3GM2N,1457,0,490.0,504.7913671251611,208.2745002117008,1404.7866659238935,8013.781743308167,4.856367679364375,0.0,490,510,590,590,680,790,1000,1100,1400,1400,1400
GET,/product/66VCHSJNUP,1427,0,500.0,531.3805420951528,154.88945902325213,1413.3673750329763,7894.029432375613,4.756373835588856,0.0,500,540,590,600,770,900,1100,1100,1400,1400,1400
GET,/product/6E92ZMYYFZ,1436,0,490.0,501.93979917661596,200.52908407524228,1391.1312920972705,7968.901114206128,4.786371988721512,0.0,490,510,580,590,670,740,990,1000,1300,1400,1400
GET,/product/L9ECAV7KIM,1443,0,490.0,520.6245615079932,212.90529193356633,1301.7772501334548,7990.260568260568,4.809703885602467,0.0,490,510,580,590,690,890,1000,1200,1300,1300,1300
GET,/product/LS4PSXUNUM,1407,0,500.0,519.0715630971989,203.3960409462452,1299.4618751108646,7989.16986496091,4.689711273071843,0.0,500,540,590,600,690,790,990,1100,1300,1300,1300
GET,/product/OLJCESPC7Z,2928,0,490.0,519.5123199433123,203.53329181671143,1496.4272920042276,7976.412568306011,9.75939915249066,0.0,490,510,590,600,700,900,1100,1200,1300,1500,1500
POST,/setCurrency,2962,0,920.0,968.4746323381648,366.8535000178963,2088.176083052531,10404.370020256583,9.87272550876958,0.0,920,1000,1100,1100,1200,1400,1600,1700,2100,2100,2100
,Aggregated,36005,0,700.0,728.4063737487734,128.63000016659498,2317.459041951224,12014.097458686294,120.00927817125212,0.0,700,810,900,910,1100,1200,1400,1500,2000,2100,2300
