Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,7548,0,920.0,960.236608170788,104.93950010277331,2290.854041930288,10420.725357710651,25.159369341795912,0.0,920,1000,1000,1100,1200,1300,1500,1700,2000,2300,2300
GET,/cart,7498,0,600.0,606.21908895316,194.261624943465,1630.87816699408,17255.43024806615,24.99270685278031,0.0,600,630,690,700,790,830,1000,1100,1400,1600,1600
POST,/cart,6017,0,700.0,698.9857688843672,187.76879203505814,2028.606834122911,17111.713312281867,20.05616392813805,0.0,700,720,800,810,900,1000,1200,1300,1700,2000,2000
POST,/cart/checkout,1497,0,410.0,467.42802272574403,186.03908317163587,1595.8812080789357,6753.237808951236,4.98987492112725,0.0,410,490,510,580,640,780,1000,1200,1600,1600,1600
POST,/cart/empty,1467,0,1000.0,1055.4561845579863,609.1853340622038,2385.330667020753,10404.888888888889,4.889877427717886,0.0,1000,1100,1100,1200,1300,1500,1700,1700,2300,2400,2400
GET,/product/2ZYFJ3GM2N,1525,0,410.0,444.57535338542255,181.08812486752868,1203.5419589374214,8013.138360655737,5.08320591497599,0.0,410,490,500,510,590,640,790,910,1200,1200,1200
GET,/product/66VCHSJNUP,1491,0,420.0,458.7240942380948,192.9416658822447,1159.2297500465065,7889.804158283032,4.969875422445377,0.0,420,490,500,510,600,690,900,1000,1100,1200,1200
GET,/product/6E92ZMYYFZ,1506,0,410.0,447.7129963857083,180.53095904178917,1203.7589580286294,7967.835325365206,5.019874169150059,0.0,410,490,500,510,600,650,790,990,1200,1200,1200
GET,/product/L9ECAV7KIM,1506,0,450.0,461.19533733874164,183.53425012901425,1141.8926250189543,7986.768260292165,5.019874169150059,0.0,460,490,500,520,600,680,870,980,1100,1100,1100
GET,/product/LS4PSXUNUM,1484,0,420.0,451.73760529245425,191.60000002011657,1282.500416971743,7985.576819407008,4.946542673983192,0.0,420,490,500,510,590,620,770,890,1100,1300,1300
GET,/product/OLJCESPC7Z,3066,0,410.0,452.3910966183746,103.01133408211172,1192.7618749905378,7974.251467710372,10.219743826436973,0.0,410,490,500,510,590,690,900,990,1100,1200,1200
POST,/setCurrency,3096,0,990.0,994.9673706613294,489.09466597251594,2343.1739590596408,10400.227390180879,10.319741319846337,0.0,990,1000,1100,1100,1200,1300,1500,1600,1900,2300,2300
,Aggregated,37701,0,620.0,692.7075586497009,103.01133408211172,2385.330667020753,12012.459112490385,125.66684996754739,0.0,620,800,900,920,1100,1200,1300,1400,1900,2300,2400
