sp25-cs525-1402.cs.illinois.edu	10.244.153.128
sp25-cs525-1403.cs.illinois.edu	10.244.45.128
sp25-cs525-1404.cs.illinois.edu	10.244.92.64
sp25-cs525-1406.cs.illinois.edu	10.244.205.128
sp25-cs525-1405.cs.illinois.edu	10.244.89.192
sp25-cs525-1408.cs.illinois.edu	10.244.241.0
sp25-cs525-1407.cs.illinois.edu	10.244.58.64
sp25-cs525-1409.cs.illinois.edu	10.244.154.192
sp25-cs525-1410.cs.illinois.edu	10.244.77.128
sp25-cs525-1411.cs.illinois.edu	10.244.182.192
sp25-cs525-1412.cs.illinois.edu	10.244.205.192
sp25-cs525-1413.cs.illinois.edu	10.244.70.192
sp25-cs525-1414.cs.illinois.edu	10.244.191.64
sp25-cs525-1415.cs.illinois.edu	10.244.135.0
sp25-cs525-1416.cs.illinois.edu	10.244.101.0
sp25-cs525-1417.cs.illinois.edu	10.244.192.192
sp25-cs525-1418.cs.illinois.edu	10.244.255.192
sp25-cs525-1419.cs.illinois.edu	10.244.193.193
sp25-cs525-1420.cs.illinois.edu	10.244.237.192
